run_id,experiment_id,model_family_id,architecture,alignment_strategy,training_mode,seed,random_partition_id,random_family,config_path,config_sha256,evidence_node,output_dir,status,execution_index,within_seed_position
V3-E__B_variance_matched-10__seed_7,V3-E3-RANDOM,E__B_variance_matched-10,dual_branch,random_feature_coral,supervised_update,7,B_variance_matched-10,B_variance_matched,v3/experiments/server_configs/V3-E__B_variance_matched-10__seed_7.yaml,d80709ebdc92967dd0466ab90db3f4bda5f00d45dccd9ecf54d4fc73d02ea20a,E3.3,experiments/v3_results/V3-E__B_variance_matched-10__seed_7,planned,37,37
V3-E__B_variance_matched-11__seed_7,V3-E3-RANDOM,E__B_variance_matched-11,dual_branch,random_feature_coral,supervised_update,7,B_variance_matched-11,B_variance_matched,v3/experiments/server_configs/V3-E__B_variance_matched-11__seed_7.yaml,b9e8ec25513c5b680afb3e3c20562abd27dd748d6111da4abb734961390642e7,E3.3,experiments/v3_results/V3-E__B_variance_matched-11__seed_7,planned,38,38
V3-E__B_variance_matched-12__seed_7,V3-E3-RANDOM,E__B_variance_matched-12,dual_branch,random_feature_coral,supervised_update,7,B_variance_matched-12,B_variance_matched,v3/experiments/server_configs/V3-E__B_variance_matched-12__seed_7.yaml,97f1f6f784a803fef204654657b633bc3f935be3cdc815eb6507508243f66e56,E3.3,experiments/v3_results/V3-E__B_variance_matched-12__seed_7,planned,39,39
V3-E__B_variance_matched-13__seed_7,V3-E3-RANDOM,E__B_variance_matched-13,dual_branch,random_feature_coral,supervised_update,7,B_variance_matched-13,B_variance_matched,v3/experiments/server_configs/V3-E__B_variance_matched-13__seed_7.yaml,78410a1f183fbfb83b8fee5375c45cda1b28fe570f03cff74a257c9782b5355b,E3.3,experiments/v3_results/V3-E__B_variance_matched-13__seed_7,planned,40,40
V3-E__B_variance_matched-14__seed_7,V3-E3-RANDOM,E__B_variance_matched-14,dual_branch,random_feature_coral,supervised_update,7,B_variance_matched-14,B_variance_matched,v3/experiments/server_configs/V3-E__B_variance_matched-14__seed_7.yaml,bde96ec79259429b1948272da47d571d20e79c5639e2ad4f5c9909e0a500f5d0,E3.3,experiments/v3_results/V3-E__B_variance_matched-14__seed_7,planned,41,41
V3-E__B_variance_matched-15__seed_7,V3-E3-RANDOM,E__B_variance_matched-15,dual_branch,random_feature_coral,supervised_update,7,B_variance_matched-15,B_variance_matched,v3/experiments/server_configs/V3-E__B_variance_matched-15__seed_7.yaml,d1025626393eab9ae46e4764fdc851d1aad98a424ca7d723f9306d09a02a3b3d,E3.3,experiments/v3_results/V3-E__B_variance_matched-15__seed_7,planned,42,42
V3-E__B_variance_matched-16__seed_7,V3-E3-RANDOM,E__B_variance_matched-16,dual_branch,random_feature_coral,supervised_update,7,B_variance_matched-16,B_variance_matched,v3/experiments/server_configs/V3-E__B_variance_matched-16__seed_7.yaml,f664b8107cb89fa69392398c1dab282130bce79af440fafc1152d05724c841ac,E3.3,experiments/v3_results/V3-E__B_variance_matched-16__seed_7,planned,43,43
V3-E__B_variance_matched-17__seed_7,V3-E3-RANDOM,E__B_variance_matched-17,dual_branch,random_feature_coral,supervised_update,7,B_variance_matched-17,B_variance_matched,v3/experiments/server_configs/V3-E__B_variance_matched-17__seed_7.yaml,cfb2703cbd1a630925e3b50f2332338de21085b025444ea4606e5e1fd9ca64cd,E3.3,experiments/v3_results/V3-E__B_variance_matched-17__seed_7,planned,44,44
V3-E__B_variance_matched-18__seed_7,V3-E3-RANDOM,E__B_variance_matched-18,dual_branch,random_feature_coral,supervised_update,7,B_variance_matched-18,B_variance_matched,v3/experiments/server_configs/V3-E__B_variance_matched-18__seed_7.yaml,7bda418466672d73d626f262b6292be8c5390b12d47f7c594b00677544c3d744,E3.3,experiments/v3_results/V3-E__B_variance_matched-18__seed_7,planned,45,45
V3-E__B_variance_matched-19__seed_7,V3-E3-RANDOM,E__B_variance_matched-19,dual_branch,random_feature_coral,supervised_update,7,B_variance_matched-19,B_variance_matched,v3/experiments/server_configs/V3-E__B_variance_matched-19__seed_7.yaml,5908c5b58e87e0f1c9b8e287251bc080d62440fe503805838fa5ebdf4fb14eea,E3.3,experiments/v3_results/V3-E__B_variance_matched-19__seed_7,planned,46,46
V3-E__C_group_size_matched-01__seed_7,V3-E3-RANDOM,E__C_group_size_matched-01,dual_branch,random_feature_coral,supervised_update,7,C_group_size_matched-01,C_group_size_matched,v3/experiments/server_configs/V3-E__C_group_size_matched-01__seed_7.yaml,5c7580091912126858beec422de37918ac26621f33929d1033b349d5d2c93a4a,E3.3,experiments/v3_results/V3-E__C_group_size_matched-01__seed_7,planned,47,47
V3-E__C_group_size_matched-02__seed_7,V3-E3-RANDOM,E__C_group_size_matched-02,dual_branch,random_feature_coral,supervised_update,7,C_group_size_matched-02,C_group_size_matched,v3/experiments/server_configs/V3-E__C_group_size_matched-02__seed_7.yaml,c33e8a997631bc24d0eaac4eb43eac923e6934db8ed5157f89ba3dc83daa1c08,E3.3,experiments/v3_results/V3-E__C_group_size_matched-02__seed_7,planned,48,48
V3-E__C_group_size_matched-03__seed_7,V3-E3-RANDOM,E__C_group_size_matched-03,dual_branch,random_feature_coral,supervised_update,7,C_group_size_matched-03,C_group_size_matched,v3/experiments/server_configs/V3-E__C_group_size_matched-03__seed_7.yaml,5f8009bd8f475b98b8f3c21e506e281342cbec7ab08b0abac0a229b4ea37d6e8,E3.3,experiments/v3_results/V3-E__C_group_size_matched-03__seed_7,planned,49,49
V3-E__C_group_size_matched-04__seed_7,V3-E3-RANDOM,E__C_group_size_matched-04,dual_branch,random_feature_coral,supervised_update,7,C_group_size_matched-04,C_group_size_matched,v3/experiments/server_configs/V3-E__C_group_size_matched-04__seed_7.yaml,65d2fcf07e95024ac7480533d91a5f0b3e5f7f4ba2ed23f95ea82bff6cbceb19,E3.3,experiments/v3_results/V3-E__C_group_size_matched-04__seed_7,planned,50,50
V3-E__C_group_size_matched-05__seed_7,V3-E3-RANDOM,E__C_group_size_matched-05,dual_branch,random_feature_coral,supervised_update,7,C_group_size_matched-05,C_group_size_matched,v3/experiments/server_configs/V3-E__C_group_size_matched-05__seed_7.yaml,dedac4f5bde7607ffeb22ae8542a6cd474453c4b024763c388a98a56ddfa8c87,E3.3,experiments/v3_results/V3-E__C_group_size_matched-05__seed_7,planned,51,51
V3-E__C_group_size_matched-06__seed_7,V3-E3-RANDOM,E__C_group_size_matched-06,dual_branch,random_feature_coral,supervised_update,7,C_group_size_matched-06,C_group_size_matched,v3/experiments/server_configs/V3-E__C_group_size_matched-06__seed_7.yaml,e6a45248e26ca123016a63092590f95032ce997d0008f4c1afca18ab88925f6b,E3.3,experiments/v3_results/V3-E__C_group_size_matched-06__seed_7,planned,52,52
